pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode,
H5,2019,2019,2019,0,0,4,Re-Import,724,Spain,ESP,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2675001277,None,None,0,
H5,2019,2019,2019,0,0,1,Import,748,Eswatini,SWZ,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,1832435797,None,None,4,
H5,2019,2019,2019,0,0,2,Export,748,Eswatini,SWZ,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2001636601,None,None,4,
H5,2019,2019,2019,0,0,1,Import,752,Sweden,SWE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,158958869495,None,None,4,
H5,2019,2019,2019,0,0,2,Export,752,Sweden,SWE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,160568108013,None,None,4,
H5,2019,2019,2019,0,0,1,Import,757,Switzerland,CHE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,276291811281,None,None,4,
H5,2019,2019,2019,0,0,2,Export,757,Switzerland,CHE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,313629550202,None,None,4,
H5,2019,2019,2019,0,0,1,Import,764,Thailand,THA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,216804755195,None,None,4,
H5,2019,2019,2019,0,0,2,Export,764,Thailand,THA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,233674439906,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,764,Thailand,THA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,3302598713,None,None,4,
H5,2019,2019,2019,0,0,1,Import,768,Togo,TGO,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,1844416713,None,None,4,
H5,2019,2019,2019,0,0,2,Export,768,Togo,TGO,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,917084613,None,None,4,
H5,2019,2019,2019,0,0,1,Import,784,United Arab Emirates,ARE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,288397544149,None,None,4,
H5,2019,2019,2019,0,0,2,Export,784,United Arab Emirates,ARE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,389372505148,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,784,United Arab Emirates,ARE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,124550139307,None,None,0,
H5,2019,2019,2019,0,0,1,Import,788,Tunisia,TUN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,21573846826,None,None,4,
H5,2019,2019,2019,0,0,2,Export,788,Tunisia,TUN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,14944087490,None,None,4,
H5,2019,2019,2019,0,0,1,Import,792,Turkey,TUR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,210343464863,None,None,4,
H5,2019,2019,2019,0,0,2,Export,792,Turkey,TUR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,180835909574,None,None,4,
H5,2019,2019,2019,0,0,1,Import,807,North Macedonia,MKD,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,9470285509,None,None,4,
H5,2019,2019,2019,0,0,2,Export,807,North Macedonia,MKD,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,7185964028,None,None,4,
H5,2019,2019,2019,0,0,1,Import,826,United Kingdom,GBR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,692494170352,None,None,4,
H5,2019,2019,2019,0,0,2,Export,826,United Kingdom,GBR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,468322416147,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,826,United Kingdom,GBR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,4256492786,None,None,0,
H5,2019,2019,2019,0,0,4,Re-Import,826,United Kingdom,GBR,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,5752431614,None,None,4,
H5,2019,2019,2019,0,0,1,Import,842,USA,USA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2567492197103,None,None,4,
H5,2019,2019,2019,0,0,2,Export,842,USA,USA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,1644276220783,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,842,USA,USA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,249813678499,None,None,0,
H5,2019,2019,2019,0,0,1,Import,854,Burkina Faso,BFA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,4252948090,None,None,4,
H5,2019,2019,2019,0,0,2,Export,854,Burkina Faso,BFA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,3263040981,None,None,4,
H5,2019,2019,2019,0,0,1,Import,858,Uruguay,URY,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,8313647005,None,None,4,
H5,2019,2019,2019,0,0,2,Export,858,Uruguay,URY,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,7816028429,None,None,4,
H5,2019,2019,2019,0,0,1,Import,860,Uzbekistan,UZB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,21867269545,None,None,4,
H5,2019,2019,2019,0,0,2,Export,860,Uzbekistan,UZB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,14929506690,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,860,Uzbekistan,UZB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,91414726,None,None,0,
H5,2019,2019,2019,0,0,4,Re-Import,860,Uzbekistan,UZB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,10473831,None,None,4,
