distanceKM, distanceMILE, distanceNA
9928.46,6169.26,5360.94
10142.28,6302.12,5476.39
10572.17,6569.24,5708.51
13690.25,8506.73,7392.15
10612.82,6594.50,5730.47
8725.68,5421.88,4711.49
10469.16,6505.24,5652.90
6545.71,4067.32,3534.40
11388.53,7076.51,6149.32
4737.83,2943.95,2558.23
9592.92,5960.76,5179.76
5761.35,3579.93,3110.88
15249.18,9475.40,8233.90
9552.67,5935.75,5158.03
3448.50,2142.80,1862.04
5773.31,3587.37,3117.34
4700.73,2920.90,2538.19
2752.96,1710.61,1486.48
4659.70,2895.40,2516.03
5447.59,3384.97,2941.46
17968.70,11165.23,9702.32
9663.96,6004.91,5218.12
9160.93,5692.34,4946.51
16315.61,10138.05,8809.72
11853.68,7365.53,6400.47
11171.39,6941.58,6032.07
8652.60,5376.47,4672.03
10296.67,6398.05,5559.76
8905.91,5533.87,4808.80
5325.38,3309.04,2875.48
4905.16,3047.93,2648.58
17673.96,10982.09,9543.18
13399.72,8326.20,7235.27
10369.42,6443.26,5599.04
9406.48,5844.91,5079.09
6455.14,4011.04,3485.50
11417.78,7094.68,6165.11
13824.49,8590.14,7464.62
16873.82,10484.91,9111.14
10391.42,6456.93,5610.92
7766.69,4825.99,4193.67
10428.28,6479.83,5630.82
4767.89,2962.63,2574.45
18820.11,11694.28,10162.05
10397.64,6460.79,5614.28
8990.77,5586.60,4854.63
7424.83,4613.58,4009.09
9998.33,6212.67,5398.66
8719.54,5418.07,4708.17
16409.23,10196.22,8860.27
13493.49,8384.46,7285.90
5412.64,3363.26,2922.59
8716.60,5416.24,4706.59
5140.69,3194.27,2775.75
10945.31,6801.10,5909.99
6831.93,4245.16,3688.95
15764.57,9795.65,8512.19
10136.51,6298.53,5473.28
9421.78,5854.42,5087.35
7040.96,4375.05,3801.82
8319.20,5169.31,4492.01
12351.37,7674.79,6669.21
6819.57,4237.48,3682.27
15780.86,9805.77,8520.98
15038.03,9344.20,8119.89
9114.59,5663.54,4921.48
3977.78,2471.67,2147.83
14568.78,9052.62,7866.51
12299.18,7642.36,6641.03
5236.83,3254.02,2827.66
6392.85,3972.34,3451.87
6697.87,4161.87,3616.56
9908.28,6156.72,5350.04
17010.25,10569.68,9184.80
7859.46,4883.65,4243.77
19052.15,11838.46,10287.34
13817.74,8585.94,7460.98
4436.78,2756.89,2395.67
16751.15,10408.68,9044.90
1462.23,908.59,789.54
3166.49,1967.56,1709.77
18816.69,11692.15,10160.20
10027.53,6230.82,5414.43
7279.21,4523.09,3930.46
4699.66,2920.23,2537.61
17215.14,10696.99,9295.43
11676.67,7255.55,6304.90
10015.87,6223.57,5408.14
12751.80,7923.60,6885.42
8663.60,5383.31,4677.97
4020.24,2498.06,2170.75
3610.37,2243.38,1949.44
3534.96,2196.52,1908.73
9023.05,5606.66,4872.06
6258.90,3889.10,3379.53
11189.69,6952.95,6041.95
4764.84,2960.73,2572.81
9626.40,5981.57,5197.84
11290.49,7015.58,6096.38
4678.37,2907.01,2526.12
14239.85,8848.23,7688.91
16526.67,10269.19,8923.69
9570.95,5947.11,5167.90
17191.40,10682.24,9282.61
9284.11,5768.88,5013.02
10416.96,6472.80,5624.71
7890.85,4903.14,4260.72
8342.19,5183.60,4504.42
7738.17,4808.28,4178.28
9039.88,5617.12,4881.15
9494.16,5899.40,5126.44
2531.53,1573.02,1366.92
7882.06,4897.69,4255.97
10225.39,6353.77,5521.27
8889.62,5523.75,4800.01
10449.65,6493.11,5642.36
13399.70,8326.19,7235.26
16616.01,10324.71,8971.93
5933.34,3686.81,3203.75
12951.03,8047.40,6993.00
3298.51,2049.60,1781.05
11942.01,7420.42,6448.17
8436.18,5242.00,4555.17
10365.93,6441.09,5597.16
12493.78,7763.27,6746.10
14165.14,8801.81,7648.57
9001.44,5593.24,4860.39
10563.63,6563.93,5703.90
6032.04,3748.14,3257.04
9876.90,6137.22,5333.10
8792.36,5463.32,4747.49
9720.98,6040.34,5248.91
6790.56,4219.46,3666.61
5987.93,3720.73,3233.22
2280.56,1417.08,1231.41
13418.27,8337.73,7245.29
3593.40,2232.84,1940.28
13018.85,8089.54,7029.62
10687.29,6640.77,5770.67
8110.07,5039.37,4379.09
10449.54,6493.04,5642.30
7247.93,4503.65,3913.57
